SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount
C-00053,B-00064,C-00086,2025-04-24,2,164.77
A-00054,B-00139,C-00038,2024-08-28,4,109.63
B-00055,C-00062,C-00080,2024-11-22,1,301.26
C-00056,B-00319,B-00049,2024-12-31,1,445.61
A-00057,A-00093,B-00004,2025-03-08,2,302.97
B-00058,C-00380,B-00061,2024-11-23,4,449.45
C-00059,A-00222,C-00014,2024-07-16,2,162.21
A-00060,B-00487,A-00093,2025-05-08,5,370.71
B-00061,A-00468,A-00024,2024-06-16,5,89.01
C-00062,C-00281,A-00057,2025-01-03,1,269.75
A-00063,A-00282,B-00097,2024-11-18,5,377.94
B-00064,C-00374,C-00068,2024-10-27,5,103.41
C-00065,C-00347,B-00091,2024-10-29,3,254.73
A-00066,B-00175,C-00005,2025-05-12,4,374.19
B-00067,C-00002,C-00023,2024-06-05,3,154.37
C-00068,C-00026,A-00015,2024-12-12,4,329.28
A-00069,B-00187,C-00080,2025-01-15,4,86.77
B-00070,B-00481,A-00090,2024-09-06,5,351.55
C-00071,C-00047,B-00088,2025-04-18,4,452.41
A-00072,A-00084,A-00060,2025-02-04,5,328.44
B-00073,B-00127,C-00059,2025-03-22,2,417.56
C-00074,A-00198,B-00031,2024-10-31,5,150.77
A-00075,B-00490,A-00033,2025-04-16,2,292.23
B-00076,A-00363,C-00011,2024-11-05,1,280.22
C-00077,A-00375,B-00007,2025-03-06,5,314.36
A-00078,C-00416,B-00046,2024-07-20,5,76.52
B-00079,B-00343,C-00029,2025-01-23,2,205.26
C-00080,C-00062,C-00047,2024-07-23,4,141.29
A-00081,C-00191,A-00078,2024-12-31,1,178.33
B-00082,B-00112,A-00036,2024-06-12,4,270.98
C-00083,B-00346,A-00024,2024-07-21,1,437.25
A-00084,C-00074,A-00078,2024-07-30,1,385.35
B-00085,B-00202,A-00048,2025-02-27,2,245.83
C-00086,C-00188,B-00007,2024-10-30,4,86.57
A-00087,A-00030,A-00084,2024-12-19,1,322.23
B-00088,A-00390,B-00100,2024-11-18,4,308.33
C-00089,A-00303,C-00011,2024-05-29,3,143.23
A-00090,C-00122,C-00011,2024-12-30,5,230.75
B-00091,B-00136,C-00071,2025-04-22,3,120.8
C-00092,C-00074,B-00013,2024-11-14,1,475.65
A-00093,A-00327,C-00035,2024-08-01,2,462.06
B-00094,C-00368,C-00041,2024-09-24,1,331.74
C-00095,B-00196,B-00040,2024-10-30,1,274.43
A-00096,B-00124,A-00093,2024-07-13,5,491.65
B-00097,C-00113,C-00020,2024-11-17,2,448.63
C-00098,C-00167,A-00030,2025-04-17,4,298.28
A-00099,A-00108,B-00019,2024-05-31,5,234.85
B-00100,C-00470,C-00068,2025-04-17,2,251.32
C-00101,B-00136,C-00047,2025-01-04,2,321.8
A-00102,C-00149,B-00055,2025-02-19,4,145.39
B-00103,C-00053,C-00074,2024-08-15,1,406.78
C-00104,B-00364,A-00027,2024-08-18,5,451.77
A-00105,A-00090,C-00032,2024-10-07,4,386.99
B-00106,C-00422,B-00055,2024-12-26,5,266.05
C-00107,B-00487,B-00094,2024-12-20,4,424.94
A-00108,C-00386,C-00056,2024-07-17,4,410.08
B-00109,A-00219,B-00013,2025-01-03,5,53.36
C-00110,B-00172,B-00004,2024-07-13,5,245.06
A-00111,A-00153,C-00086,2024-08-03,2,319.98
B-00112,B-00154,C-00056,2024-09-08,4,77.15
C-00113,C-00056,C-00071,2024-10-10,3,460.61
A-00114,C-00323,A-00006,2025-04-16,5,371.12
B-00115,B-00391,B-00016,2025-02-12,3,218.41
C-00116,B-00394,A-00042,2024-08-12,5,145.73
A-00117,C-00278,B-00016,2025-02-08,3,299.31
B-00118,C-00371,C-00074,2024-08-25,5,57.68
C-00119,B-00418,B-00028,2025-02-12,1,274
A-00120,A-00174,B-00073,2025-02-11,5,338.76
B-00121,C-00308,B-00004,2025-04-10,3,295.25
C-00122,C-00224,B-00007,2025-01-02,5,249.9
A-00123,C-00332,B-00091,2025-02-14,5,266.14
B-00124,C-00335,A-00075,2024-05-17,4,156.9
C-00125,B-00301,C-00056,2024-07-23,1,336.91
A-00126,A-00063,A-00027,2025-05-08,5,139.35
B-00127,B-00229,C-00020,2024-07-29,4,495.05
C-00128,A-00309,B-00076,2025-04-11,3,443.44
A-00129,C-00386,A-00075,2024-12-23,2,495.86
B-00130,B-00013,A-00039,2024-06-11,5,311.89
C-00131,B-00091,B-00007,2024-12-17,3,225.16
A-00132,C-00077,B-00004,2025-04-02,5,338.11
B-00133,B-00016,B-00043,2024-10-11,3,411.25
C-00134,C-00323,B-00043,2025-05-14,3,325.47
A-00135,C-00308,C-00002,2024-05-21,5,364.67
B-00136,A-00273,A-00057,2025-02-05,1,297.96
C-00137,A-00231,A-00024,2025-03-21,3,94.53
A-00138,A-00201,C-00038,2024-06-11,2,190.11
B-00139,B-00136,A-00099,2024-07-31,5,441.85
C-00140,B-00466,C-00080,2024-07-12,2,270.55
A-00141,A-00060,A-00015,2024-08-09,1,256.92
B-00142,B-00316,B-00064,2024-11-30,3,309.93
C-00143,A-00072,B-00004,2024-11-01,2,375.83
A-00144,B-00106,B-00043,2024-08-28,2,261.32
B-00145,C-00071,A-00072,2025-05-02,2,377.81
C-00146,B-00196,A-00015,2024-08-21,3,377.95
A-00147,A-00114,B-00043,2025-01-11,5,276.21
B-00148,B-00097,B-00061,2024-10-19,5,158.48
C-00149,C-00260,A-00069,2025-02-25,2,445.36
A-00150,B-00007,A-00033,2024-06-30,3,151.47
B-00151,A-00495,B-00010,2024-07-21,5,153.62
C-00152,C-00020,C-00047,2025-03-20,3,279.26
A-00153,B-00094,B-00079,2024-12-02,2,476.05
B-00154,A-00462,A-00063,2024-05-22,4,202.73
C-00155,C-00056,B-00043,2024-11-04,4,76.29
A-00156,C-00161,C-00029,2024-09-28,4,310.65
B-00157,A-00222,C-00071,2024-06-04,2,297.78
C-00158,A-00348,B-00016,2024-06-11,5,78.14
A-00159,C-00350,A-00099,2024-06-10,5,499.83
B-00160,B-00085,B-00064,2024-10-04,5,174.94
C-00161,C-00290,B-00049,2025-05-03,3,349.22
A-00162,C-00206,B-00076,2024-12-23,2,158.53
B-00163,B-00211,B-00064,2024-11-15,2,185.89
C-00164,B-00361,B-00019,2024-12-18,1,82.77
A-00165,C-00185,A-00081,2024-08-21,3,182.96
B-00166,B-00235,C-00068,2024-08-28,2,171.16
C-00167,C-00134,B-00043,2025-01-30,1,298.66
A-00168,C-00230,B-00070,2024-08-25,1,228.62
B-00169,B-00097,C-00065,2025-01-10,1,156.47
C-00170,C-00089,A-00084,2025-04-20,2,444.18
A-00171,A-00096,A-00066,2025-02-17,3,162.22
B-00172,C-00344,C-00095,2024-09-18,4,75.71
C-00173,B-00235,C-00083,2024-08-17,2,246.29
A-00174,B-00052,A-00003,2024-06-25,1,192.84
B-00175,B-00313,C-00011,2024-10-20,1,283.69
C-00176,A-00438,C-00077,2025-03-16,5,477.53
A-00177,C-00422,C-00017,2024-06-12,5,246.19
B-00178,B-00247,B-00061,2024-09-27,2,167.27
C-00179,B-00070,A-00027,2024-11-24,4,489.46
A-00180,A-00378,B-00004,2024-05-17,4,283.85
B-00181,B-00088,C-00050,2024-07-26,4,152.2
C-00182,A-00408,B-00097,2025-01-27,3,230.98
A-00183,B-00133,C-00089,2025-04-19,3,90.71
B-00184,C-00440,C-00029,2024-10-22,2,441.32
C-00185,C-00203,B-00046,2024-08-16,5,291.27
A-00186,C-00323,B-00046,2024-11-01,3,280.43
B-00187,A-00441,B-00097,2025-01-21,3,486.79
C-00188,B-00022,B-00073,2024-06-27,2,447.97
A-00189,B-00445,C-00062,2024-11-27,5,268.34
B-00190,B-00199,B-00016,2025-04-04,3,450.13
C-00191,C-00407,A-00003,2024-12-20,2,287.41
A-00192,A-00408,C-00032,2025-01-31,2,292.29
B-00193,B-00025,C-00035,2024-08-21,4,389.8
C-00194,B-00103,B-00088,2024-06-27,2,226.53
A-00195,C-00410,B-00019,2025-01-21,1,284.61
B-00196,A-00189,C-00074,2024-08-11,1,99.08
C-00197,B-00022,A-00012,2024-11-12,1,236.84
A-00198,A-00060,B-00067,2024-12-25,1,200.22
B-00199,A-00270,A-00054,2025-03-06,4,299.63
C-00200,A-00276,C-00089,2024-10-21,3,293.79
A-00201,A-00261,A-00015,2024-05-22,4,142.01
B-00202,C-00182,A-00039,2025-02-06,4,401.12
C-00203,A-00387,B-00079,2024-07-04,3,274.42
A-00204,B-00463,C-00089,2025-01-22,5,438.35
B-00205,C-00206,B-00064,2025-04-18,2,359.27
C-00206,B-00274,C-00059,2025-05-15,5,492.01
A-00207,C-00452,A-00039,2024-11-13,4,429.22
B-00208,A-00069,C-00023,2025-01-13,1,244.17
C-00209,B-00148,C-00098,2024-06-22,5,180.22
A-00210,C-00482,C-00086,2024-10-20,2,69.78
B-00211,A-00390,A-00093,2025-01-24,3,267.29
C-00212,C-00344,C-00014,2024-06-30,1,215.52
A-00213,C-00350,A-00048,2024-06-23,4,391.7
B-00214,B-00046,B-00007,2024-12-12,2,178.72
C-00215,B-00001,B-00088,2025-03-28,3,323.33
A-00216,C-00275,A-00009,2025-03-19,5,393.56
B-00217,A-00354,C-00068,2025-05-08,5,387.94
C-00218,A-00084,A-00048,2024-09-29,2,82.22
A-00219,B-00445,C-00032,2025-01-17,3,146.92
B-00220,A-00324,A-00006,2024-06-13,4,135.01
C-00221,B-00109,B-00085,2025-05-12,4,440.23
A-00222,B-00487,B-00067,2024-12-15,5,200.17
B-00223,A-00303,C-00038,2025-03-09,4,314.61
C-00224,C-00089,A-00039,2024-11-25,2,474.56
A-00225,B-00067,B-00031,2025-04-15,2,282.88
B-00226,C-00452,A-00036,2024-11-23,2,152.42
C-00227,B-00490,B-00058,2024-05-17,4,333.68
A-00228,C-00434,B-00028,2024-06-09,1,111.62
B-00229,A-00471,C-00086,2024-11-25,4,348.79
C-00230,B-00358,C-00095,2024-06-18,4,57.35
A-00231,A-00180,A-00084,2024-10-24,3,102.52
B-00232,A-00210,B-00040,2024-11-09,2,228.24
C-00233,C-00461,B-00034,2025-03-10,3,268.37
A-00234,A-00081,B-00010,2025-01-08,5,439.94
B-00235,A-00456,A-00033,2024-09-10,4,436.98
C-00236,C-00113,A-00072,2024-08-11,1,192.03
A-00237,C-00278,B-00094,2025-03-04,5,385.2
B-00238,B-00271,A-00021,2024-09-01,3,450.49
C-00239,C-00092,B-00001,2025-04-12,5,438.38
A-00240,B-00034,C-00071,2024-07-27,5,264.45
B-00241,B-00319,B-00091,2024-06-11,1,164.92
C-00242,C-00005,A-00051,2024-11-21,3,184.09
A-00243,A-00438,B-00058,2025-04-09,3,110.01
B-00244,A-00141,C-00089,2024-09-01,4,185.04
C-00245,A-00090,B-00025,2024-07-22,4,339.66
A-00246,A-00120,C-00002,2025-04-11,2,351.68
B-00247,B-00436,C-00041,2025-02-15,2,216.12
C-00248,B-00028,C-00020,2024-10-11,5,146.49
A-00249,C-00041,C-00008,2024-12-29,5,94.17
B-00250,A-00351,B-00091,2024-08-27,2,343.32
C-00251,A-00183,B-00076,2024-11-26,3,420.94
A-00252,A-00411,C-00041,2024-09-12,2,434.84
B-00253,C-00200,A-00051,2025-03-04,1,53.99
C-00254,C-00206,A-00015,2024-10-03,2,376.65
A-00255,C-00491,B-00031,2025-02-01,2,129.2
B-00256,C-00347,A-00075,2024-06-18,4,418.37
C-00257,B-00226,B-00004,2024-06-10,1,87.87
A-00258,B-00217,A-00036,2024-10-08,3,326.52
B-00259,C-00392,B-00055,2024-10-27,4,458.05
C-00260,C-00458,C-00035,2024-12-22,5,387.2
A-00261,B-00193,C-00017,2024-06-16,5,57.51
B-00262,C-00404,A-00090,2025-05-01,1,386.9
C-00263,C-00245,B-00061,2024-11-13,4,242.81
A-00264,B-00313,A-00084,2024-07-14,5,167.52
B-00265,B-00073,C-00047,2024-05-22,2,173.86
C-00266,A-00234,B-00082,2024-08-31,3,158.28
A-00267,B-00340,A-00030,2024-06-10,4,370.6
B-00268,B-00160,B-00010,2025-03-13,2,280.99
C-00269,A-00006,A-00048,2024-12-11,4,101.73
A-00270,C-00146,A-00048,2025-04-22,1,281.82
B-00271,B-00145,B-00076,2024-07-05,1,241.57
C-00272,A-00294,A-00063,2024-08-08,4,129.22
A-00273,A-00201,A-00090,2024-11-12,3,360.94
B-00274,C-00269,B-00085,2025-02-11,1,198.63
C-00275,B-00334,C-00044,2024-11-10,5,254.87
A-00276,C-00422,B-00004,2024-11-28,4,462.85
B-00277,C-00170,B-00085,2024-09-09,4,357.55
C-00278,B-00121,B-00079,2024-06-11,2,455.72
A-00279,C-00302,C-00077,2025-02-19,2,486.1
B-00280,A-00093,B-00082,2024-05-20,3,171.15
C-00281,A-00132,A-00021,2024-06-30,2,151.36
A-00282,B-00430,B-00013,2025-02-16,5,407.35
B-00283,A-00213,A-00009,2025-05-13,2,288.36
C-00284,A-00363,B-00061,2025-05-09,4,350.59
A-00285,B-00442,A-00066,2024-09-15,1,336.01
B-00286,A-00417,C-00032,2025-01-28,5,315.79
C-00287,C-00383,C-00074,2025-04-19,1,243.66
A-00288,B-00319,C-00044,2024-07-13,2,261.68
B-00289,A-00033,B-00058,2024-12-19,1,219.49
C-00290,B-00376,C-00032,2024-07-27,2,94.19
A-00291,A-00153,B-00091,2024-12-23,1,335.23
B-00292,B-00124,A-00036,2024-06-05,5,367.36
C-00293,B-00157,A-00093,2024-07-10,5,153.95
A-00294,B-00406,A-00003,2024-12-28,1,242.43
B-00295,B-00079,A-00093,2025-01-22,5,233.25
C-00296,B-00373,A-00057,2025-03-05,3,433.18
A-00297,C-00353,A-00081,2025-05-14,2,220.13
B-00298,A-00333,C-00083,2025-02-19,3,108.62
C-00299,B-00232,B-00091,2025-03-27,3,127.27
A-00300,A-00414,B-00076,2024-11-12,1,77.26
B-00301,C-00404,A-00063,2025-03-06,3,135.61
C-00302,C-00056,A-00048,2024-06-05,4,82.4
A-00303,A-00378,C-00038,2024-06-19,1,205.34
B-00304,A-00150,B-00028,2024-10-01,5,173.09
C-00305,C-00500,B-00037,2024-07-03,2,118.32
A-00306,B-00397,A-00096,2024-11-22,1,160.16
B-00307,B-00214,B-00073,2025-01-21,4,81.02
C-00308,A-00216,B-00091,2024-09-10,2,283.78
A-00309,A-00468,A-00099,2025-03-28,3,367.36
B-00310,A-00027,B-00097,2024-06-09,1,332.5
C-00311,A-00030,A-00096,2025-03-10,4,327.84
A-00312,A-00366,A-00048,2024-05-31,5,267
B-00313,C-00176,C-00035,2025-02-25,1,191.91
C-00314,A-00381,B-00064,2025-04-21,1,365.36
A-00315,C-00392,C-00053,2024-09-10,5,109.25
B-00316,B-00028,B-00070,2024-10-01,1,320.87
C-00317,B-00091,C-00026,2025-01-20,5,396.9
A-00318,C-00407,B-00046,2024-11-10,5,233.67
B-00319,A-00489,C-00089,2024-10-11,3,111.17
C-00320,B-00448,A-00012,2024-06-11,5,280.64
A-00321,C-00041,B-00079,2024-06-10,4,139.96
B-00322,B-00292,C-00044,2024-07-19,2,144.93
C-00323,B-00406,C-00002,2024-09-29,3,151.4
A-00324,B-00475,C-00059,2025-01-05,2,490.18
B-00325,A-00204,A-00006,2024-11-18,1,75.66
C-00326,B-00148,C-00098,2025-03-23,3,114.33
A-00327,B-00037,C-00029,2024-10-12,4,275.12
B-00328,B-00250,C-00098,2025-05-13,2,207.24
C-00329,C-00143,A-00036,2024-10-06,2,446
A-00330,B-00058,B-00004,2025-05-09,1,496.61
B-00331,A-00039,B-00004,2024-08-29,2,446.85
C-00332,A-00015,B-00067,2025-04-06,5,161.92
A-00333,A-00144,B-00037,2024-09-22,4,143.32
B-00334,A-00129,C-00080,2025-03-21,3,145.38
C-00335,A-00273,C-00029,2024-09-17,2,161.69
A-00336,B-00181,C-00017,2024-07-29,2,252.84
B-00337,A-00216,C-00098,2025-02-26,5,105.63
C-00338,B-00205,C-00089,2024-11-10,5,294.69
A-00339,B-00046,A-00003,2024-06-14,3,79.41
B-00340,C-00194,A-00021,2024-11-25,4,253.22
C-00341,A-00204,C-00059,2024-10-01,4,387.81
A-00342,C-00464,C-00074,2025-05-11,3,213.21
B-00343,C-00020,B-00094,2024-06-02,5,264.47
C-00344,A-00054,A-00042,2024-11-18,1,155.64
A-00345,B-00028,B-00091,2024-07-01,2,224.86
B-00346,B-00313,C-00089,2025-01-06,4,240.31
C-00347,C-00098,C-00068,2024-12-25,5,314.8
A-00348,A-00369,A-00087,2024-11-08,5,192.63
B-00349,A-00207,A-00066,2025-02-23,2,96.72
C-00350,C-00233,C-00086,2024-08-31,3,401.47
A-00351,B-00460,B-00037,2025-05-03,2,355.9
B-00352,A-00399,B-00037,2025-03-30,1,157.05
C-00353,B-00391,B-00073,2025-04-01,4,223.7
A-00354,B-00394,B-00088,2025-02-22,2,59.62
B-00355,A-00324,A-00042,2025-02-10,2,162.94
C-00356,A-00483,C-00002,2024-10-17,5,446.52
A-00357,B-00037,B-00004,2025-02-01,5,128.52
B-00358,B-00061,C-00041,2024-07-14,5,125.09
C-00359,C-00131,B-00100,2025-01-07,1,56.13
A-00360,C-00323,A-00087,2024-06-28,3,204.78
B-00361,A-00261,C-00068,2024-09-07,5,476.69
C-00362,C-00005,A-00015,2025-04-13,2,351.38
A-00363,C-00407,C-00053,2025-04-28,4,461.16
B-00364,A-00108,C-00056,2025-02-18,5,399.61
C-00365,B-00466,A-00030,2024-12-20,3,136.39
A-00366,B-00451,A-00090,2025-05-05,1,83.56
B-00367,C-00299,A-00051,2024-10-29,3,354.28
C-00368,A-00282,C-00068,2025-03-27,3,152.68
A-00369,B-00178,B-00025,2025-03-13,2,121.87
B-00370,A-00069,A-00072,2024-08-02,5,191.7
C-00371,C-00152,A-00024,2024-10-17,5,246.3
A-00372,A-00138,B-00100,2025-04-13,1,124.51
B-00373,B-00178,B-00037,2024-12-28,2,270.83
C-00374,C-00218,B-00085,2024-11-05,5,448.8
A-00375,A-00033,B-00040,2025-03-26,2,392.45
B-00376,A-00270,A-00081,2025-04-27,5,74.75
C-00377,B-00235,C-00047,2024-12-06,5,243.64
A-00378,A-00399,B-00019,2024-12-13,3,342.52
B-00379,C-00023,A-00039,2024-08-27,5,385.95
C-00380,B-00097,C-00026,2024-09-24,3,224.88
A-00381,B-00367,A-00081,2024-07-25,2,263.49
B-00382,A-00105,B-00013,2024-06-26,1,100.22
C-00383,C-00038,B-00058,2025-03-05,1,182.05
A-00384,C-00398,A-00039,2024-11-14,5,177.47
B-00385,A-00204,A-00024,2024-08-07,4,321.23
C-00386,C-00209,B-00079,2025-04-03,4,364.43
A-00387,C-00059,C-00092,2025-04-20,2,81.07
B-00388,C-00095,B-00091,2024-09-08,3,470.25
C-00389,C-00344,C-00044,2024-07-19,4,458.32
A-00390,B-00466,B-00088,2024-10-13,1,471.28
B-00391,B-00331,A-00066,2025-03-26,2,274.71
C-00392,A-00408,A-00057,2024-07-17,5,476.31
A-00393,C-00164,C-00089,2025-02-16,3,202.38
B-00394,A-00174,B-00031,2024-09-28,1,239.14
C-00395,A-00174,A-00093,2025-03-06,5,117.81
A-00396,A-00180,A-00087,2024-07-08,5,232.67
B-00397,A-00156,C-00047,2024-12-17,4,193.5
C-00398,B-00154,A-00030,2024-09-25,5,405.93
A-00399,B-00319,B-00100,2025-03-29,4,171.61
B-00400,A-00480,B-00097,2024-06-15,4,455.64
C-00401,A-00228,A-00072,2024-11-16,5,355.35
A-00402,B-00085,B-00046,2024-10-03,2,53.36
B-00403,C-00332,B-00013,2024-08-27,1,247.74
C-00404,C-00053,C-00083,2024-06-21,4,387.31
A-00405,C-00269,B-00043,2025-02-03,1,423.79
B-00406,A-00327,C-00011,2024-08-17,2,163.1
C-00407,A-00255,B-00085,2024-08-14,3,494.51
A-00408,B-00352,A-00078,2025-03-10,2,349.2
B-00409,C-00371,B-00076,2024-05-22,4,86.28
C-00410,B-00013,B-00010,2024-06-10,5,463.95
A-00411,C-00011,A-00072,2025-02-18,3,413.9
B-00412,B-00328,B-00073,2024-05-28,3,104.12
C-00413,A-00441,C-00050,2024-11-17,2,313.99
A-00414,C-00308,A-00075,2024-10-13,1,117.54
B-00415,C-00389,B-00070,2024-06-16,3,291.47
C-00416,B-00451,C-00059,2024-07-09,3,485.62
A-00417,C-00434,A-00090,2025-02-26,5,397.16
B-00418,B-00406,C-00056,2024-09-14,4,244.02
C-00419,A-00090,A-00087,2025-02-27,2,171.65
A-00420,A-00195,A-00024,2024-08-21,5,373.47
B-00421,C-00080,C-00008,2024-11-13,1,412.97
C-00422,A-00054,C-00032,2025-03-01,1,170.52
A-00423,C-00458,C-00059,2025-01-16,5,407.42
B-00424,B-00484,A-00039,2024-10-29,3,297.08
C-00425,B-00355,C-00044,2024-12-13,1,53.07
A-00426,C-00083,C-00023,2024-12-06,5,81.46
B-00427,A-00471,B-00076,2024-10-11,3,358.08
C-00428,B-00199,C-00032,2024-11-06,2,462.66
A-00429,A-00414,B-00067,2024-09-14,3,171.02
B-00430,B-00172,C-00011,2024-11-27,4,442.9
C-00431,C-00059,B-00031,2024-07-10,2,330.58
A-00432,A-00072,B-00097,2024-06-26,3,206.53
B-00433,C-00167,A-00057,2024-10-30,3,294.6
C-00434,C-00257,A-00063,2024-09-11,2,176.45
A-00435,B-00187,B-00085,2024-05-20,5,473.74
B-00436,A-00132,C-00044,2025-05-12,1,230.15
C-00437,C-00233,B-00019,2024-09-02,3,244.82
A-00438,A-00132,C-00032,2024-10-05,2,217.09
B-00439,C-00488,C-00095,2024-07-05,4,482.13
C-00440,B-00316,C-00032,2024-09-04,4,225.83
A-00441,C-00110,C-00020,2024-11-15,3,481.05
B-00442,A-00477,B-00013,2024-06-15,4,299.35
C-00443,B-00340,C-00062,2024-05-23,5,395.94
A-00444,B-00385,C-00032,2024-05-29,5,122.41
B-00445,B-00274,A-00009,2025-01-24,5,474.18
C-00446,A-00360,A-00042,2025-03-16,5,187.12
A-00447,B-00316,C-00020,2024-09-09,4,288.07
B-00448,C-00116,C-00065,2025-05-10,5,498.91
C-00449,A-00453,A-00078,2024-12-02,1,360.13
A-00450,C-00461,A-00033,2025-03-16,2,314.76
B-00451,B-00082,B-00076,2025-02-14,4,126.02
C-00452,B-00001,B-00031,2025-02-04,3,335.77
A-00453,B-00139,A-00054,2025-04-26,1,459.81
B-00454,A-00216,A-00021,2025-02-26,3,151.21
C-00455,A-00360,A-00063,2025-02-02,4,460.76
A-00456,C-00119,C-00071,2025-04-23,2,118.36
B-00457,C-00041,C-00092,2025-01-12,4,113.89
C-00458,A-00447,A-00069,2024-08-19,4,142.62
A-00459,C-00107,B-00031,2024-08-30,1,465.71
B-00460,C-00332,C-00092,2025-01-09,3,264.22
C-00461,A-00036,C-00065,2025-03-17,5,349.88
A-00462,C-00428,B-00091,2024-10-10,3,189.73
B-00463,C-00005,C-00086,2024-08-04,2,200.09
C-00464,A-00285,A-00072,2025-05-03,2,297.69
A-00465,B-00040,B-00070,2025-01-05,3,250.34
B-00466,A-00120,A-00099,2024-11-23,2,251.63
C-00467,B-00190,C-00092,2024-08-30,2,377.79
A-00468,A-00279,C-00065,2025-01-06,1,309.32
B-00469,B-00199,C-00038,2025-04-16,3,185.18
C-00470,C-00287,A-00060,2025-02-05,1,179.41
A-00471,C-00473,A-00069,2024-12-28,1,80.7
B-00472,A-00096,C-00095,2025-01-22,1,483.93
C-00473,A-00243,B-00079,2024-12-14,1,94.79
A-00474,C-00359,A-00051,2024-08-10,4,301.32
B-00475,A-00066,A-00042,2024-08-19,2,413.35
C-00476,B-00274,C-00008,2025-03-08,1,98.51
A-00477,A-00105,A-00039,2024-07-20,4,87.5
B-00478,C-00014,B-00073,2025-05-12,1,196.69
C-00479,B-00211,C-00008,2024-11-20,1,377.75
A-00480,A-00186,C-00074,2024-12-07,5,393.6
B-00481,A-00138,C-00008,2024-10-15,1,112.57
C-00482,B-00355,A-00093,2024-11-05,1,230.71
A-00483,B-00298,C-00053,2025-01-13,4,361.93
B-00484,B-00238,C-00041,2024-05-29,1,199.14
C-00485,C-00407,B-00013,2025-03-22,4,469.42
A-00486,C-00398,C-00086,2025-03-11,2,390.36
B-00487,B-00484,C-00053,2024-09-23,5,418.71
C-00488,A-00219,C-00074,2025-04-13,5,296.05
A-00489,B-00328,B-00007,2025-03-07,5,192.95
B-00490,C-00350,B-00010,2024-10-06,3,143.74
C-00491,A-00027,B-00001,2025-03-01,4,212.52
A-00492,C-00359,B-00097,2024-10-08,4,264.96
B-00493,A-00294,C-00050,2025-04-23,1,470.51
C-00494,A-00018,C-00053,2024-08-23,5,60.81
A-00495,A-00375,B-00100,2024-11-02,4,434.25
B-00496,A-00171,A-00078,2024-11-04,5,305.27
C-00497,C-00212,B-00073,2025-01-05,2,200.82
